system   D            wsystem.c:583  maybe_parent_dir                 [   0.00143] Also searching G:\My Document\My Project\Blasteroids\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00177] PathFindOnPath found: C:\windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00180] Calling LoadLibrary C:\windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00615] Loaded C:\windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.04691] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.04705] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.04799] added dtor for object 006A7100, func 0FDF24D2
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.04958] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.04961] al_display=006A7380
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.04963] al_display->vt=006A72B8
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.05269] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.05274] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05276] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05277] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05279] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05280] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05282] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05283] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05284] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05286] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.05287] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.05289] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
